object_id,mission,period_days,duration_hours,depth_ppm,planet_radius_rearth,score,label,label_raw,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded
K02135.02,kepler,20.1890396,6.251,112.1,1.39,1.0,candidate,CANDIDATE,0.012900976891111419,0.0495318261696807,0.01058772874605314,0
K03941.01,kepler,1.061935973,3.3177,337.9,24.17,0.0,fp,FALSE POSITIVE,0.13017498560621787,0.9416763584860686,0.018382056468197457,0
K03942.01,kepler,1.485898163,2.446,224.6,14.96,0.0,fp,FALSE POSITIVE,0.06858926755848387,0.6729936309908473,0.01498666073546739,0
K03943.01,kepler,38.5763483,19.861,282.1,2.05,0.974,planet,CONFIRMED,0.02145204777370456,0.02592261953420822,0.01679583281650541,0
K03944.01,kepler,1.845610523,2.337,374.1,77.83,0.0,fp,FALSE POSITIVE,0.052760319030755766,0.5418261261181594,0.019341664871463368,0
K07834.01,kepler,7.3812344,2.802,104.5,1.0,0.802,candidate,CANDIDATE,0.015817137577963925,0.13547869445793512,0.010222524150130436,0
K04015.01,kepler,133.303247,7.342,1017.5,2.67,1.0,planet,CONFIRMED,0.0022948928368313986,0.007501692738212146,0.03189827581547316,0
K04016.01,kepler,125.4132302,2.3241,1345.0,3.14,1.0,planet,CONFIRMED,0.0007721474029938509,0.007973640407836333,0.0366742416417845,0
K04017.01,kepler,21.5702917,40.4,148.7,29.53,0.0,fp,FALSE POSITIVE,0.07803943297314488,0.04636005919196726,0.01219426094521517,0
K04018.01,kepler,0.868723418,1.4617,197.1,1.87,0.0,fp,FALSE POSITIVE,0.07010766074072458,1.1511143584712251,0.014039230748157109,0
K00266.01,kepler,25.30893566,5.7704,153.7,1.77,1.0,planet,CONFIRMED,0.009499938541996095,0.039511736622748206,0.012397580409095962,0
K00065.01,kepler,27.25471993,0.73,,,,fp,FALSE POSITIVE,0.0011160146479137444,0.036690892534150504,,0
K00383.01,kepler,34.10787519,4.1,,,,fp,FALSE POSITIVE,0.005008618460742447,0.029318742209224084,,0
